number,Eval,kind_of_answer,outcome,Distribute,Distributed,Distribute_Distributed,cond,univ,type,typeMatsumoto,typeDistribute,typeDistributed,Order,typeQuatro,sex,age,ID,SVO,EC,PD,PT,FS,HL,EG
no1,4,Ega,best,1,2,3,1,h,12,E,E,E,Opp_First,EE,m,19,h10750,ind,3.285714286,3,3.571428571,6,8,4
no2,5,Ega,best,3,1,4,1,h,31,Other,O,E,Opp_First,OE,f,19,h11050,ind,4.571428571,4,2.142857143,6,8,1
no3,5,Ega,best,1,1,2,1,h,11,E,E,E,Opp_First,EE,f,20,h10850,pro,5.428571429,5,2.857142857,2.571428571,10,1
no4,4,Ega,best,1,3,4,1,h,13,Other,E,O,Opp_First,EO,m,20,h10950,ind,5.142857143,4.714285714,3.571428571,3.571428571,6,3
no5,4,Ega,best,4,3,7,1,h,43,O,O,O,Opp_First,OO,m,20,h11150,pro,4.142857143,1.857142857,5.571428571,5.142857143,5,5
no6,5,Ega,best,1,1,2,1,h,11,E,E,E,Opp_First,EE,m,20,h12620,pro,4.714285714,3.857142857,4.571428571,4.428571429,9,3
no7,5,Ega,best,3,2,5,1,h,32,Other,O,E,Opp_First,OE,f,20,h13240,pro,5,5.571428571,4.571428571,4.428571429,7,3
no8,5,Ega,best,3,1,4,1,h,31,Other,O,E,Opp_First,OE,m,18,h710,pro,5.142857143,3.571428571,5.142857143,4.714285714,7,2
no9,4,Ega,best,2,2,4,1,h,22,E,E,E,Opp_First,EE,m,18,h610,pro,5,3.428571429,4.428571429,4.142857143,7,3
no10,4,Ega,best,3,3,6,1,h,33,O,O,O,Opp_First,OO,f,18,h810,pro,5.142857143,4.857142857,4.285714286,5.857142857,,2
no11,5,Ega,best,1,2,3,1,h,12,E,E,E,Opp_First,EE,m,21,h1110,pro,5.285714286,4.142857143,5,3.857142857,5,5
no12,4,Ega,best,3,3,6,1,h,33,O,O,O,Opp_First,OO,m,20,h910,pro,6,4.857142857,5,6.285714286,5,2
no13,4,Ega,best,3,3,6,1,h,33,O,O,O,Opp_First,OO,m,19,h1010,ind,4.857142857,4.285714286,3.857142857,5.428571429,6,3
no14,1,Ega,best,4,3,7,1,h,43,O,O,O,Opp_First,OO,m,18,h1410,ind,4.285714286,4,4,4.857142857,9,5
no15,4,Ega,best,3,4,7,1,h,34,O,O,O,Opp_First,OO,f,19,h1210,ind,4.714285714,2.571428571,4.285714286,3.428571429,7,2
no16,4,Ega,best,3,3,6,1,h,33,O,O,O,Opp_First,OO,f,19,h1310,pro,5.571428571,4.857142857,3.857142857,4.142857143,8,2
no17,4,Ega,best,1,2,3,1,h,12,E,E,E,Opp_First,EE,f,19,h1510,pro,3.714285714,4.285714286,5,5,10,3
no18,4,Ega,worst,2,1,3,2,h,21,E,E,E,Opp_First,EE,f,18,h1630,ind,4.714285714,4,4.571428571,4,8,2
no19,4,Ega,worst,1,1,2,2,h,11,E,E,E,Opp_First,EE,f,20,h1730,ind,4.428571429,4.428571429,4.714285714,4.857142857,8,2
no20,4,Ega,worst,1,1,2,2,h,11,E,E,E,Opp_First,EE,f,20,h1830,other,6.142857143,3.714285714,6.142857143,5.571428571,8,4
no21,4,Ega,worst,3,2,5,2,h,32,Other,O,E,Opp_First,OE,f,20,h2030,pro,3.857142857,4,6.571428571,3,6,3
no22,5,Ega,worst,2,3,5,2,h,23,Other,E,O,Opp_First,EO,m,19,h1930,other,5.857142857,3.714285714,4.142857143,5.428571429,10,6
no23,4,Ega,worst,3,3,6,2,h,33,O,O,O,Opp_First,OO,f,18,h2130,pro,5.714285714,4.142857143,5,4.857142857,6,2
no24,6,Ega,worst,1,1,2,2,h,11,E,E,E,Opp_First,EE,f,18,h2230,pro,3.142857143,2.714285714,4,4.142857143,7,2
no25,4,Ega,worst,2,2,4,2,h,22,E,E,E,Opp_First,EE,m,19,h2330,pro,6.571428571,6.428571429,6,6.428571429,5,4
no26,3,Ega,worst,3,2,5,2,h,32,Other,O,E,Opp_First,OE,f,20,h2430,pro,5.142857143,3.714285714,4.142857143,6,8,2
no27,4,Ega,worst,2,2,4,2,h,22,E,E,E,Opp_First,EE,m,18,h2530,pro,5.857142857,5.714285714,6.142857143,5.428571429,7,2
no28,5,Ega,worst,1,1,2,2,h,11,E,E,E,Opp_First,EE,m,19,h2830,ind,5.714285714,5,4.571428571,5.857142857,8,2
no29,5,Ega,worst,3,3,6,2,h,33,O,O,O,Opp_First,OO,m,20,h2630,ind,2.142857143,1.714285714,1.571428571,1.285714286,4,5
no30,4,Ega,worst,1,3,4,2,h,13,Other,E,O,Opp_First,EO,m,20,h2730,pro,4.714285714,3.142857143,4.142857143,4.714285714,4,5
no31,5,Ega,worst,4,3,7,2,h,43,O,O,O,Opp_First,OO,m,20,h3030,ind,3.714285714,3.428571429,5,2.857142857,8,4
no32,5,Ega,worst,3,2,5,2,h,32,Other,O,E,Opp_First,OE,f,19,h3130,ind,5,5.428571429,4.571428571,4.142857143,7,2
no33,4,Ega,worst,1,2,3,2,h,12,E,E,E,Opp_First,EE,m,19,h2930,pro,4.285714286,5,4.142857143,5.142857143,7,3
no34,4,Ega,inequity,1,3,4,3,h,13,Other,E,O,Opp_First,EO,f,19,h3240,pro,5.714285714,6.142857143,3.857142857,4.714285714,7,4
no35,5,Ega,inequity,3,2,5,3,h,32,Other,O,E,Opp_First,OE,f,19,h3340,pro,4.857142857,6.428571429,3.571428571,5.428571429,4,1
no36,5,Ega,inequity,1,1,2,3,h,11,E,E,E,Opp_First,EE,m,21,h3440,pro,4.714285714,4.857142857,3.857142857,4.142857143,9,1
no37,5,Ega,inequity,2,2,4,3,h,22,E,E,E,Opp_First,EE,f,21,h3540,pro,4.571428571,5.428571429,4.714285714,2.857142857,4,2
no38,5,Ega,inequity,1,1,2,3,h,11,E,E,E,Opp_First,EE,f,20,h3640,pro,5.142857143,4,4.142857143,5.714285714,4,2
no39,5,Ega,inequity,2,2,4,3,h,22,E,E,E,Opp_First,EE,f,19,h3940,other,4.285714286,5.285714286,3.285714286,5.571428571,7,2
no40,5,Ega,inequity,2,2,4,3,h,22,E,E,E,Opp_First,EE,f,20,h3840,pro,5.571428571,4.142857143,4.428571429,4.285714286,7,2
no41,4,Ega,inequity,2,2,4,3,h,22,E,E,E,Opp_First,EE,m,19,h3740,pro,4.142857143,4.571428571,5.571428571,3.142857143,3,2
no42,5,Ega,inequity,2,2,4,3,h,22,E,E,E,Opp_First,EE,m,20,h4140,pro,5.428571429,5,5.142857143,6.285714286,9,2
no43,4,Ega,inequity,2,2,4,3,h,22,E,E,E,Opp_First,EE,f,20,h4240,ind,4,4.571428571,3.857142857,4.428571429,7,1
no44,4,Ega,inequity,1,3,4,3,h,13,Other,E,O,Opp_First,EO,m,19,h4040,pro,5.857142857,5,4.571428571,4.857142857,5,5
no45,3,Ega,inequity,3,2,5,3,h,32,Other,O,E,Opp_First,OE,m,19,h11250,ind,5.714285714,5.857142857,3.571428571,3.428571429,8,2
no46,5,Ega,inequity,1,1,2,3,h,11,E,E,E,Opp_First,EE,m,19,h11350,pro,5.142857143,2.142857143,4.571428571,6.571428571,8,2
no47,4,Ega,inequity,3,3,6,3,h,33,O,O,O,Opp_First,OO,m,20,h12050,pro,4,3.428571429,4,4.714285714,6,5
no48,3,Ega,inequity,3,3,6,3,h,33,O,O,O,Opp_First,OO,m,20,h12420,ind,3.857142857,4,2.142857143,4,8,4
no49,5,Ega,inequity,2,3,5,3,h,23,Other,E,O,Opp_First,EO,m,18,h13140,ind,4.142857143,2.571428571,4.142857143,3.857142857,5,5
no50,3,Ega,unknown,1,3,4,4,h,13,Other,E,O,Opp_First,EO,f,22,h4820,pro,4,4.142857143,4.857142857,5.142857143,8,3
no51,4,Ega,unknown,2,2,4,4,h,22,E,E,E,Opp_First,EE,f,19,h4620,pro,5.428571429,5.142857143,3.142857143,5.571428571,10,2
no52,4,Ega,unknown,3,3,6,4,h,33,O,O,O,Opp_First,OO,m,20,h4320,pro,5.285714286,3.571428571,3.714285714,4.142857143,5,2
