id,policy,outcome,rating_policy
1,outcome_equality,best,4
112,outcome_equality,best,5
175,outcome_equality,best,5
186,outcome_equality,best,4
197,outcome_equality,best,4
208,outcome_equality,best,5
219,outcome_equality,best,5
230,outcome_equality,best,5
241,outcome_equality,best,4
2,outcome_equality,best,4
13,outcome_equality,best,5
24,outcome_equality,best,4
35,outcome_equality,best,4
46,outcome_equality,best,1
57,outcome_equality,best,4
68,outcome_equality,best,4
79,outcome_equality,best,4
90,outcome_equality,worst,4
101,outcome_equality,worst,4
113,outcome_equality,worst,4
124,outcome_equality,worst,4
135,outcome_equality,worst,5
146,outcome_equality,worst,4
157,outcome_equality,worst,6
168,outcome_equality,worst,4
171,outcome_equality,worst,3
172,outcome_equality,worst,4
173,outcome_equality,worst,5
174,outcome_equality,worst,5
176,outcome_equality,worst,4
177,outcome_equality,worst,5
178,outcome_equality,worst,5
179,outcome_equality,worst,4
180,outcome_equality,inequity,4
181,outcome_equality,inequity,5
182,outcome_equality,inequity,5
183,outcome_equality,inequity,5
184,outcome_equality,inequity,5
185,outcome_equality,inequity,5
187,outcome_equality,inequity,5
188,outcome_equality,inequity,4
189,outcome_equality,inequity,5
190,outcome_equality,inequity,4
191,outcome_equality,inequity,4
192,outcome_equality,inequity,3
193,outcome_equality,inequity,5
194,outcome_equality,inequity,4
195,outcome_equality,inequity,3
196,outcome_equality,inequity,5
198,outcome_equality,unknown,3
199,outcome_equality,unknown,4
200,outcome_equality,unknown,4
201,outcome_equality,unknown,5
202,outcome_equality,unknown,5
203,outcome_equality,unknown,4
204,outcome_equality,unknown,5
205,outcome_equality,unknown,4
206,outcome_equality,unknown,4
207,outcome_equality,unknown,5
209,outcome_equality,unknown,4
210,outcome_equality,unknown,4
211,outcome_equality,unknown,4
212,outcome_equality,unknown,5
213,outcome_equality,unknown,5
214,outcome_equality,unknown,2
215,outcome_equality,best,5
216,outcome_equality,best,5
217,outcome_equality,best,1
218,outcome_equality,best,4
220,outcome_equality,best,4
221,outcome_equality,best,3
222,outcome_equality,best,5
223,outcome_equality,best,2
224,outcome_equality,best,4
225,outcome_equality,best,5
226,outcome_equality,best,5
227,outcome_equality,best,4
228,outcome_equality,best,5
229,outcome_equality,best,5
231,outcome_equality,best,5
232,outcome_equality,best,4
233,outcome_equality,worst,3
234,outcome_equality,worst,4
235,outcome_equality,worst,5
236,outcome_equality,worst,1
237,outcome_equality,worst,5
238,outcome_equality,worst,3
239,outcome_equality,worst,5
240,outcome_equality,worst,4
242,outcome_equality,worst,5
243,outcome_equality,worst,5
244,outcome_equality,worst,4
245,outcome_equality,worst,5
246,outcome_equality,worst,6
247,outcome_equality,worst,3
