id,rating_distributor,rating_recipient,order,univ,gender,age,cond,type
1,1,2,risky_sure,hokkaido,man,19,success,sure
112,3,1,risky_sure,hokkaido,woman,19,success,other
175,1,1,risky_sure,hokkaido,woman,20,success,sure
186,1,3,risky_sure,hokkaido,man,20,success,other
197,4,3,risky_sure,hokkaido,man,20,success,risky
208,1,1,risky_sure,hokkaido,man,20,success,sure
219,3,2,risky_sure,hokkaido,woman,20,success,other
230,3,1,risky_sure,hokkaido,man,18,success,other
241,2,2,risky_sure,hokkaido,man,18,success,sure
2,3,3,risky_sure,hokkaido,woman,18,success,risky
13,1,2,risky_sure,hokkaido,man,21,success,sure
24,3,3,risky_sure,hokkaido,man,20,success,risky
35,3,3,risky_sure,hokkaido,man,19,success,risky
46,4,3,risky_sure,hokkaido,man,18,success,risky
57,3,4,risky_sure,hokkaido,woman,19,success,risky
68,3,3,risky_sure,hokkaido,woman,19,success,risky
79,1,2,risky_sure,hokkaido,woman,19,success,sure
90,2,1,risky_sure,hokkaido,woman,18,failure,sure
101,1,1,risky_sure,hokkaido,woman,20,failure,sure
113,1,1,risky_sure,hokkaido,woman,20,failure,sure
124,3,2,risky_sure,hokkaido,woman,20,failure,other
135,2,3,risky_sure,hokkaido,man,19,failure,other
146,3,3,risky_sure,hokkaido,woman,18,failure,risky
157,1,1,risky_sure,hokkaido,woman,18,failure,sure
168,2,2,risky_sure,hokkaido,man,19,failure,sure
171,3,2,risky_sure,hokkaido,woman,20,failure,other
172,2,2,risky_sure,hokkaido,man,18,failure,sure
173,1,1,risky_sure,hokkaido,man,19,failure,sure
174,3,3,risky_sure,hokkaido,man,20,failure,risky
176,1,3,risky_sure,hokkaido,man,20,failure,other
177,4,3,risky_sure,hokkaido,man,20,failure,risky
178,3,2,risky_sure,hokkaido,woman,19,failure,other
179,1,2,risky_sure,hokkaido,man,19,failure,sure
180,1,3,risky_sure,hokkaido,woman,19,inequality,other
181,3,2,risky_sure,hokkaido,woman,19,inequality,other
182,1,1,risky_sure,hokkaido,man,21,inequality,sure
183,2,2,risky_sure,hokkaido,woman,21,inequality,sure
184,1,1,risky_sure,hokkaido,woman,20,inequality,sure
185,2,2,risky_sure,hokkaido,woman,19,inequality,sure
187,2,2,risky_sure,hokkaido,woman,20,inequality,sure
188,2,2,risky_sure,hokkaido,man,19,inequality,sure
189,2,2,risky_sure,hokkaido,man,20,inequality,sure
190,2,2,risky_sure,hokkaido,woman,20,inequality,sure
191,1,3,risky_sure,hokkaido,man,19,inequality,other
192,3,2,risky_sure,hokkaido,man,19,inequality,other
193,1,1,risky_sure,hokkaido,man,19,inequality,sure
194,3,3,risky_sure,hokkaido,man,20,inequality,risky
195,3,3,risky_sure,hokkaido,man,20,inequality,risky
196,2,3,risky_sure,hokkaido,man,18,inequality,other
198,1,3,risky_sure,hokkaido,woman,22,control,other
199,2,2,risky_sure,hokkaido,woman,19,control,sure
200,3,3,risky_sure,hokkaido,man,20,control,risky
201,2,2,risky_sure,hokkaido,man,22,control,sure
202,2,1,risky_sure,hokkaido,man,20,control,sure
203,3,2,risky_sure,hokkaido,woman,20,control,other
204,4,2,risky_sure,hokkaido,man,20,control,other
205,2,3,risky_sure,hokkaido,man,20,control,other
206,2,2,risky_sure,hokkaido,man,21,control,sure
207,3,3,risky_sure,hokkaido,man,22,control,risky
209,1,2,risky_sure,hokkaido,woman,21,control,sure
210,2,1,risky_sure,hokkaido,man,19,control,sure
211,2,2,risky_sure,hokkaido,woman,19,control,sure
212,1,2,risky_sure,hokkaido,man,20,control,sure
213,3,1,risky_sure,hokkaido,woman,22,control,other
214,1,4,risky_sure,hokkaido,man,20,control,other
215,1,1,sure_risky,hokkaido,woman,18,success,sure
216,2,2,sure_risky,hokkaido,woman,20,success,sure
217,4,4,sure_risky,hokkaido,man,19,success,risky
218,4,4,sure_risky,hokkaido,man,23,success,risky
220,2,2,sure_risky,hokkaido,man,22,success,sure
221,1,1,sure_risky,hokkaido,man,19,success,sure
222,1,1,sure_risky,hokkaido,woman,22,success,sure
223,4,2,sure_risky,hokkaido,man,19,success,other
224,4,4,sure_risky,hokkaido,man,19,success,risky
225,2,3,sure_risky,hokkaido,man,21,success,other
226,1,1,sure_risky,hokkaido,woman,21,success,sure
227,3,2,sure_risky,hokkaido,man,19,success,other
228,2,3,sure_risky,hokkaido,man,20,success,other
229,2,1,sure_risky,hokkaido,woman,21,success,sure
231,2,2,sure_risky,hokkaido,man,20,success,sure
232,1,3,sure_risky,hokkaido,woman,18,success,other
233,2,1,sure_risky,hokkaido,woman,20,failure,sure
234,2,2,sure_risky,hokkaido,woman,21,failure,sure
235,2,3,sure_risky,hokkaido,man,18,failure,other
236,4,4,sure_risky,hokkaido,man,21,failure,risky
237,1,1,sure_risky,hokkaido,man,19,failure,sure
238,3,4,sure_risky,hokkaido,man,20,failure,risky
239,2,3,sure_risky,hokkaido,woman,20,failure,other
240,4,1,sure_risky,hokkaido,man,21,failure,other
