id,policy,outcome,rating_policy
1,sure,sure,4
112,sure,sure,5
175,sure,sure,5
186,sure,sure,4
197,sure,sure,4
208,sure,sure,5
219,sure,sure,5
230,sure,sure,5
241,sure,sure,4
2,sure,sure,4
13,sure,sure,5
24,sure,sure,4
35,sure,sure,4
46,sure,sure,1
57,sure,sure,4
68,sure,sure,4
79,sure,sure,4
90,sure,sure,4
101,sure,sure,4
113,sure,sure,4
124,sure,sure,4
135,sure,sure,5
146,sure,sure,4
157,sure,sure,6
168,sure,sure,4
171,sure,sure,3
172,sure,sure,4
173,sure,sure,5
174,sure,sure,5
176,sure,sure,4
177,sure,sure,5
178,sure,sure,5
179,sure,sure,4
180,sure,sure,4
181,sure,sure,5
182,sure,sure,5
183,sure,sure,5
184,sure,sure,5
185,sure,sure,5
187,sure,sure,5
188,sure,sure,4
189,sure,sure,5
190,sure,sure,4
191,sure,sure,4
192,sure,sure,3
193,sure,sure,5
194,sure,sure,4
195,sure,sure,3
196,sure,sure,5
198,sure,sure,3
199,sure,sure,4
200,sure,sure,4
201,sure,sure,5
202,sure,sure,5
203,sure,sure,4
204,sure,sure,5
205,sure,sure,4
206,sure,sure,4
207,sure,sure,5
209,sure,sure,4
210,sure,sure,4
211,sure,sure,4
212,sure,sure,5
213,sure,sure,5
214,sure,sure,2
215,sure,sure,5
216,sure,sure,5
217,sure,sure,1
218,sure,sure,4
220,sure,sure,4
221,sure,sure,3
222,sure,sure,5
223,sure,sure,2
224,sure,sure,4
225,sure,sure,5
226,sure,sure,5
227,sure,sure,4
228,sure,sure,5
229,sure,sure,5
231,sure,sure,5
232,sure,sure,4
233,sure,sure,3
234,sure,sure,4
235,sure,sure,5
236,sure,sure,1
237,sure,sure,5
238,sure,sure,3
239,sure,sure,5
240,sure,sure,4
242,sure,sure,5
243,sure,sure,5
244,sure,sure,4
245,sure,sure,5
246,sure,sure,6
247,sure,sure,3
248,sure,sure,4
249,sure,sure,3
250,sure,sure,4
251,sure,sure,4
3,sure,sure,5
4,sure,sure,5
5,sure,sure,4
6,sure,sure,3
7,sure,sure,3
8,sure,sure,4
9,sure,sure,4
10,sure,sure,3
11,sure,sure,6
12,sure,sure,6
14,sure,sure,6
15,sure,sure,4
16,sure,sure,4
17,sure,sure,5
18,sure,sure,4
19,sure,sure,5
20,sure,sure,5
21,sure,sure,5
22,sure,sure,4
23,sure,sure,3
25,sure,sure,3
26,sure,sure,5
27,sure,sure,5
28,sure,sure,4
29,sure,sure,3
30,sure,sure,1
31,sure,sure,4
32,sure,sure,5
33,sure,sure,4
34,sure,sure,4
36,sure,sure,4
37,sure,sure,4
38,sure,sure,5
39,sure,sure,5
40,sure,sure,4
41,sure,sure,4
42,sure,sure,5
43,sure,sure,5
44,sure,sure,5
45,sure,sure,6
47,sure,sure,6
48,sure,sure,4
49,sure,sure,4
50,sure,sure,5
51,sure,sure,6
52,sure,sure,4
53,sure,sure,5
54,sure,sure,2
55,sure,sure,5
56,sure,sure,1
58,sure,sure,4
59,sure,sure,5
60,sure,sure,5
61,sure,sure,5
62,sure,sure,5
63,sure,sure,2
64,sure,sure,5
65,sure,sure,3
66,sure,sure,4
67,sure,sure,4
69,sure,sure,2
70,sure,sure,5
